approach,psi_deg,shelf_ok,n_pockets_ok,round_cost_deg,j1_swing_deg,worst_gap_deg,flip
down,-180.0,1,4,231.8,210.7,210.7,1
down,-165.0,1,4,218.6,195.4,195.4,1
down,-150.0,1,4,205.4,181.0,181.0,1
down,-135.0,1,4,192.3,165.9,165.9,0
down,-120.0,1,4,178.0,150.4,150.4,0
down,-105.0,1,4,167.1,135.8,135.8,0
down,-90.0,1,4,154.4,120.8,120.8,0
down,-75.0,1,4,143.8,105.8,105.8,0
down,-60.0,1,4,132.3,90.8,90.8,0
down,-45.0,1,4,123.2,75.7,82.5,0
down,-30.0,1,4,116.0,60.8,82.3,0
down,-15.0,1,4,109.9,45.8,82.1,0
down,0.0,1,4,106.3,30.9,81.9,0
down,15.0,1,4,107.2,35.3,82.1,0
down,30.0,1,4,109.7,50.3,81.7,0
down,45.0,1,4,116.4,65.3,82.1,0
down,60.0,1,4,125.7,80.3,81.9,0
down,75.0,1,4,135.5,95.3,95.3,0
down,90.0,1,4,146.0,110.0,110.0,0
down,105.0,1,4,158.2,125.3,125.3,0
down,120.0,1,4,170.3,140.3,140.3,0
down,135.0,1,4,182.8,155.3,155.3,0
down,150.0,1,4,195.9,170.3,170.3,0
down,165.0,1,4,209.2,185.7,185.7,1
down,180.0,1,4,231.8,210.7,210.7,1
wrap,-180.0,1,4,430.2,309.8,309.8,1
wrap,-165.0,1,4,409.5,297.5,297.5,1
wrap,-150.0,1,4,401.9,281.1,281.1,1
wrap,-135.0,1,4,388.2,267.3,267.3,1
wrap,-120.0,1,4,381.7,250.8,250.8,1
wrap,-105.0,1,4,350.7,227.2,227.2,1
wrap,-90.0,1,4,354.4,219.2,233.9,1
wrap,-75.0,1,4,346.3,199.3,199.3,1
wrap,-60.0,1,4,345.1,190.8,190.8,1
wrap,-45.0,1,4,340.1,175.0,192.0,1
wrap,-30.0,1,4,329.4,171.3,182.1,1
wrap,-15.0,1,4,322.1,169.1,180.4,1
wrap,0.0,1,4,323.0,151.5,202.4,1
wrap,15.0,1,4,307.4,139.1,180.1,1
wrap,30.0,1,4,305.5,122.6,180.1,1
wrap,45.0,1,4,294.7,109.3,180.0,1
wrap,60.0,1,4,296.1,92.4,180.4,1
wrap,75.0,1,4,299.6,90.7,192.7,1
wrap,90.0,1,4,289.1,62.5,180.3,1
wrap,105.0,1,4,292.9,99.9,182.3,1
wrap,120.0,1,4,289.0,32.8,186.2,1
wrap,135.0,1,4,277.7,127.3,180.0,0
wrap,150.0,1,4,285.4,156.6,180.0,1
wrap,165.0,1,4,431.8,327.3,327.3,1
wrap,180.0,1,4,430.2,309.8,309.8,1
