x,y,z,ri,n_ok,n_total,down
0.005000,-0.795000,-0.045000,0.0000,0,24,0
0.005000,-0.795000,-0.035000,0.0000,0,24,0
0.005000,-0.795000,-0.025000,0.0000,0,24,0
0.005000,-0.795000,-0.015000,0.0000,0,24,0
0.005000,-0.795000,-0.005000,0.0000,0,24,0
0.005000,-0.795000,0.005000,0.0000,0,24,0
0.005000,-0.795000,0.015000,0.0000,0,24,0
0.005000,-0.795000,0.025000,0.0000,0,24,0
0.005000,-0.795000,0.035000,0.0000,0,24,0
0.005000,-0.795000,0.045000,0.0833,2,24,0
0.005000,-0.795000,0.055000,0.0417,1,24,0
0.005000,-0.785000,-0.045000,0.0000,0,24,0
0.005000,-0.785000,-0.035000,0.0000,0,24,0
0.005000,-0.785000,-0.025000,0.0000,0,24,0
0.005000,-0.785000,-0.015000,0.0000,0,24,0
0.005000,-0.785000,-0.005000,0.0000,0,24,0
0.005000,-0.785000,0.005000,0.0000,0,24,0
0.005000,-0.785000,0.015000,0.0000,0,24,0
0.005000,-0.785000,0.025000,0.0417,1,24,0
0.005000,-0.785000,0.035000,0.0417,1,24,0
0.005000,-0.785000,0.045000,0.0833,2,24,0
0.005000,-0.785000,0.055000,0.0833,2,24,0
0.005000,-0.775000,-0.045000,0.0000,0,24,0
0.005000,-0.775000,-0.035000,0.0000,0,24,0
0.005000,-0.775000,-0.025000,0.0000,0,24,0
0.005000,-0.775000,-0.015000,0.0000,0,24,0
0.005000,-0.775000,-0.005000,0.0000,0,24,0
0.005000,-0.775000,0.005000,0.0000,0,24,0
0.005000,-0.775000,0.015000,0.0000,0,24,0
0.005000,-0.775000,0.025000,0.0417,1,24,0
0.005000,-0.775000,0.035000,0.0833,2,24,0
0.005000,-0.775000,0.045000,0.0417,1,24,0
0.005000,-0.775000,0.055000,0.0417,1,24,0
0.005000,-0.765000,-0.045000,0.0000,0,24,0
0.005000,-0.765000,-0.035000,0.0000,0,24,0
0.005000,-0.765000,-0.025000,0.0000,0,24,0
0.005000,-0.765000,-0.015000,0.0000,0,24,0
0.005000,-0.765000,-0.005000,0.0000,0,24,0
0.005000,-0.765000,0.005000,0.0000,0,24,0
0.005000,-0.765000,0.015000,0.0833,2,24,0
0.005000,-0.765000,0.025000,0.0417,1,24,0
0.005000,-0.765000,0.035000,0.0833,2,24,0
0.005000,-0.765000,0.045000,0.0833,2,24,0
0.005000,-0.765000,0.055000,0.0417,1,24,0
0.005000,-0.755000,-0.045000,0.0000,0,24,0
0.005000,-0.755000,-0.035000,0.0000,0,24,0
0.005000,-0.755000,-0.025000,0.0000,0,24,0
0.005000,-0.755000,-0.015000,0.0000,0,24,0
0.005000,-0.755000,-0.005000,0.0000,0,24,0
0.005000,-0.755000,0.005000,0.0833,2,24,0
0.005000,-0.755000,0.015000,0.0417,1,24,0
0.005000,-0.755000,0.025000,0.0833,2,24,0
0.005000,-0.755000,0.035000,0.0833,2,24,0
0.005000,-0.755000,0.045000,0.0833,2,24,0
0.005000,-0.755000,0.055000,0.0417,1,24,0
0.005000,-0.745000,-0.045000,0.0000,0,24,0
0.005000,-0.745000,-0.035000,0.0000,0,24,0
0.005000,-0.745000,-0.025000,0.0000,0,24,0
0.005000,-0.745000,-0.015000,0.0000,0,24,0
0.005000,-0.745000,-0.005000,0.0833,2,24,0
0.005000,-0.745000,0.005000,0.0417,1,24,0
0.005000,-0.745000,0.015000,0.0833,2,24,0
0.005000,-0.745000,0.025000,0.0417,1,24,0
0.005000,-0.745000,0.035000,0.0000,0,24,0
0.005000,-0.745000,0.045000,0.1250,3,24,0
0.005000,-0.745000,0.055000,0.1667,4,24,0
0.005000,-0.735000,-0.045000,0.0000,0,24,0
0.005000,-0.735000,-0.035000,0.0000,0,24,0
0.005000,-0.735000,-0.025000,0.0000,0,24,0
0.005000,-0.735000,-0.015000,0.0000,0,24,0
0.005000,-0.735000,-0.005000,0.0417,1,24,0
0.005000,-0.735000,0.005000,0.0417,1,24,0
0.005000,-0.735000,0.015000,0.0833,2,24,0
0.005000,-0.735000,0.025000,0.0833,2,24,0
0.005000,-0.735000,0.035000,0.1250,3,24,0
0.005000,-0.735000,0.045000,0.1667,4,24,0
0.005000,-0.735000,0.055000,0.0833,2,24,0
0.005000,-0.725000,-0.045000,0.0000,0,24,0
0.005000,-0.725000,-0.035000,0.0000,0,24,0
0.005000,-0.725000,-0.025000,0.0000,0,24,0
0.005000,-0.725000,-0.015000,0.0000,0,24,0
0.005000,-0.725000,-0.005000,0.0417,1,24,0
0.005000,-0.725000,0.005000,0.1250,3,24,0
0.005000,-0.725000,0.015000,0.1250,3,24,0
0.005000,-0.725000,0.025000,0.1250,3,24,0
0.005000,-0.725000,0.035000,0.1250,3,24,0
0.005000,-0.725000,0.045000,0.1250,3,24,0
0.005000,-0.725000,0.055000,0.1667,4,24,0
0.005000,-0.715000,-0.045000,0.0000,0,24,0
0.005000,-0.715000,-0.035000,0.0000,0,24,0
0.005000,-0.715000,-0.025000,0.0833,2,24,0
0.005000,-0.715000,-0.015000,0.0833,2,24,0
0.005000,-0.715000,-0.005000,0.1250,3,24,0
0.005000,-0.715000,0.005000,0.1250,3,24,0
0.005000,-0.715000,0.015000,0.1250,3,24,0
0.005000,-0.715000,0.025000,0.0833,2,24,0
0.005000,-0.715000,0.035000,0.1250,3,24,0
0.005000,-0.715000,0.045000,0.1250,3,24,0
0.005000,-0.715000,0.055000,0.1250,3,24,0
0.005000,-0.705000,-0.045000,0.0000,0,24,0
0.005000,-0.705000,-0.035000,0.0000,0,24,0
0.005000,-0.705000,-0.025000,0.1250,3,24,0
0.005000,-0.705000,-0.015000,0.1250,3,24,0
0.005000,-0.705000,-0.005000,0.1250,3,24,0
0.005000,-0.705000,0.005000,0.1667,4,24,0
0.005000,-0.705000,0.015000,0.1667,4,24,0
0.005000,-0.705000,0.025000,0.1250,3,24,0
0.005000,-0.705000,0.035000,0.1250,3,24,0
0.005000,-0.705000,0.045000,0.1667,4,24,0
0.005000,-0.705000,0.055000,0.1250,3,24,0
0.005000,-0.695000,-0.045000,0.0000,0,24,0
0.005000,-0.695000,-0.035000,0.1250,3,24,0
0.005000,-0.695000,-0.025000,0.0417,1,24,0
0.005000,-0.695000,-0.015000,0.0833,2,24,0
0.005000,-0.695000,-0.005000,0.1250,3,24,0
0.005000,-0.695000,0.005000,0.1250,3,24,0
0.005000,-0.695000,0.015000,0.1250,3,24,0
0.005000,-0.695000,0.025000,0.1250,3,24,0
0.005000,-0.695000,0.035000,0.1667,4,24,0
0.005000,-0.695000,0.045000,0.1250,3,24,0
0.005000,-0.695000,0.055000,0.1250,3,24,0
0.005000,-0.685000,-0.045000,0.0833,2,24,0
0.005000,-0.685000,-0.035000,0.0833,2,24,0
0.005000,-0.685000,-0.025000,0.0833,2,24,0
0.005000,-0.685000,-0.015000,0.0833,2,24,0
0.005000,-0.685000,-0.005000,0.1250,3,24,0
0.005000,-0.685000,0.005000,0.1250,3,24,0
0.005000,-0.685000,0.015000,0.1250,3,24,0
0.005000,-0.685000,0.025000,0.1250,3,24,0
0.005000,-0.685000,0.035000,0.1250,3,24,0
0.005000,-0.685000,0.045000,0.0833,2,24,0
0.005000,-0.685000,0.055000,0.1250,3,24,0
0.005000,-0.675000,-0.045000,0.0833,2,24,0
0.005000,-0.675000,-0.035000,0.1667,4,24,0
0.005000,-0.675000,-0.025000,0.0833,2,24,0
0.005000,-0.675000,-0.015000,0.1667,4,24,0
0.005000,-0.675000,-0.005000,0.0833,2,24,0
0.005000,-0.675000,0.005000,0.1667,4,24,0
0.005000,-0.675000,0.015000,0.1250,3,24,0
0.005000,-0.675000,0.025000,0.1250,3,24,0
0.005000,-0.675000,0.035000,0.1250,3,24,0
0.005000,-0.675000,0.045000,0.1667,4,24,0
0.005000,-0.675000,0.055000,0.1250,3,24,0
0.005000,-0.665000,-0.045000,0.1250,3,24,0
0.005000,-0.665000,-0.035000,0.1250,3,24,0
0.005000,-0.665000,-0.025000,0.1250,3,24,0
0.005000,-0.665000,-0.015000,0.0833,2,24,0
0.005000,-0.665000,-0.005000,0.1250,3,24,0
0.005000,-0.665000,0.005000,0.1250,3,24,0
0.005000,-0.665000,0.015000,0.1250,3,24,0
0.005000,-0.665000,0.025000,0.1250,3,24,0
0.005000,-0.665000,0.035000,0.1667,4,24,0
0.005000,-0.665000,0.045000,0.2083,5,24,0
0.005000,-0.665000,0.055000,0.2500,6,24,0
0.005000,-0.655000,-0.045000,0.1667,4,24,0
0.005000,-0.655000,-0.035000,0.1250,3,24,0
0.005000,-0.655000,-0.025000,0.0833,2,24,0
0.005000,-0.655000,-0.015000,0.1667,4,24,0
0.005000,-0.655000,-0.005000,0.0833,2,24,0
0.005000,-0.655000,0.005000,0.1250,3,24,0
0.005000,-0.655000,0.015000,0.1667,4,24,0
0.005000,-0.655000,0.025000,0.2083,5,24,0
0.005000,-0.655000,0.035000,0.2083,5,24,0
0.005000,-0.655000,0.045000,0.2500,6,24,0
0.005000,-0.655000,0.055000,0.2083,5,24,0
0.005000,-0.645000,-0.045000,0.1250,3,24,0
0.005000,-0.645000,-0.035000,0.0833,2,24,0
0.005000,-0.645000,-0.025000,0.1667,4,24,0
0.005000,-0.645000,-0.015000,0.1250,3,24,0
0.005000,-0.645000,-0.005000,0.0833,2,24,0
0.005000,-0.645000,0.005000,0.1667,4,24,0
0.005000,-0.645000,0.015000,0.2083,5,24,0
0.005000,-0.645000,0.025000,0.1667,4,24,0
0.005000,-0.645000,0.035000,0.2083,5,24,0
0.005000,-0.645000,0.045000,0.2500,6,24,0
0.005000,-0.645000,0.055000,0.2500,6,24,0
0.005000,-0.635000,-0.045000,0.1250,3,24,0
